idx,feasible,reason,score,speed_err_rms,lateral_rms,yaw_rms_deg,progress_mean,train_s,span,taper,sweep_deg,thickness_root,camber,motor_gap,cruise_alpha_deg,mass,S_ref,A_front,AR,CD0,CL_c,lift_N,drag_N
0,1,,-1647.66,4.4526,2.7203,10.52,28.6,0.4,1.4251,0.9383,15.5137,0.098,0.015,0.4994,1.0211,0.5031,0.4833,0.05008,4.2,0.0735,0.36,6.82,1.62
1,0,thrust gate: 3*0.70N < 1.15*D=2.35N @ cruise,,,,,,,1.6212,0.8782,9.3587,0.1042,0.0139,0.2519,2.7803,0.5399,0.5328,0.05663,4.93,0.0749,0.534,11.16,2.05
